interaction_id,occurred_at,customer_id,campaign_id,product_id,channel,event_type,session_id,region,segment,spend_usd,revenue_usd,creative_id,agency_id,deal_id
INT-00001,2025-01-03T15:24:00+00:00,CUST-0050,CAMP-027,SKU-0008,webinar,click,SES-00070,LATAM,Enterprise,3.87,0.0,CR-0032,AGY-04,DEAL-1026
INT-00002,2025-02-23T21:00:00+00:00,CUST-0093,CAMP-011,SKU-0008,content_syndication,trial_start,SES-00160,EMEA,Enterprise,9.99,321.37,CR-0026,AGY-05,DEAL-1003
INT-00003,2025-01-30T18:00:00+00:00,CUST-0060,CAMP-012,SKU-0002,paid_search,impression,SES-00084,EMEA,Enterprise,0.71,0.0,CR-0030,AGY-02,DEAL-1001
INT-00004,2025-01-05T17:46:00+00:00,CUST-0036,CAMP-027,SKU-0005,partner,mql,SES-00121,EMEA,Enterprise,18.62,0.0,CR-0035,AGY-04,DEAL-1009
INT-00005,2025-01-14T20:53:00+00:00,CUST-0084,CAMP-003,SKU-0018,paid_search,trial_start,SES-00052,LATAM,Mid-Market,20.8,57.19,CR-0040,AGY-03,DEAL-1028
INT-00006,2025-03-29T19:27:00+00:00,CUST-0060,CAMP-017,SKU-0025,display,impression,SES-00156,EMEA,Enterprise,0.23,0.0,CR-0011,AGY-01,DEAL-1071
INT-00007,2025-03-04T20:40:00+00:00,CUST-0040,CAMP-025,SKU-0009,organic_social,trial_start,SES-00051,NA,Enterprise,0.66,348.6,CR-0038,AGY-02,DEAL-1047
INT-00008,2025-01-07T06:38:00+00:00,CUST-0088,CAMP-008,SKU-0026,paid_search,impression,SES-00110,NA,Startup,0.75,0.0,CR-0024,AGY-05,DEAL-1051
INT-00009,2025-02-09T15:20:00+00:00,CUST-0002,CAMP-027,SKU-0008,content_syndication,impression,SES-00093,EMEA,Enterprise,0.27,0.0,CR-0010,AGY-04,DEAL-1035
INT-00010,2025-01-30T08:05:00+00:00,CUST-0079,CAMP-031,SKU-0013,content_syndication,click,SES-00188,EMEA,Startup,1.11,0.0,CR-0018,AGY-05,DEAL-1102
INT-00011,2025-02-04T11:54:00+00:00,CUST-0036,CAMP-029,SKU-0002,webinar,form_submit,SES-00146,EMEA,Enterprise,15.36,0.0,CR-0043,AGY-06,DEAL-1009
INT-00012,2025-03-22T03:05:00+00:00,CUST-0024,CAMP-032,SKU-0010,webinar,impression,SES-00067,EMEA,SMB,1.23,0.0,CR-0018,AGY-03,DEAL-1051
INT-00013,2025-02-20T12:48:00+00:00,CUST-0072,CAMP-001,SKU-0010,webinar,impression,SES-00185,LATAM,SMB,1.29,0.0,CR-0032,AGY-05,DEAL-1095
INT-00014,2025-02-06T19:25:00+00:00,CUST-0083,CAMP-032,SKU-0010,content_syndication,form_submit,SES-00024,APAC,SMB,4.96,0.0,CR-0015,AGY-03,DEAL-1109
INT-00015,2025-03-05T23:24:00+00:00,CUST-0061,CAMP-023,SKU-0008,organic_social,purchase,SES-00141,EMEA,Mid-Market,0.5,7378.42,CR-0023,AGY-06,DEAL-1009
